iter	Passed	Remaining
504	327385	126416
505	328029	125766
506	328657	125110
507	329283	124453
508	329869	123782
509	330472	123117
510	331128	122472
511	331749	121814
512	332376	121158
513	333013	120506
514	333623	119845
515	334246	119188
516	334858	118528
517	335481	117871
518	336108	117217
519	336703	116551
520	337311	115890
521	337951	115240
522	338578	114585
523	339255	113948
524	339955	113318
525	340646	112685
526	341297	112038
527	341954	111394
528	342611	110749
529	343270	110105
530	343909	109455
531	344564	108809
532	345228	108167
533	345871	107518
534	346535	106875
535	347187	106229
536	347843	105583
537	348495	104937
538	349154	104292
539	349823	103651
540	350477	103005
541	351130	102359
542	351783	101712
543	352436	101066
544	353085	100418
545	353730	99770
546	354367	99119
547	355002	98467
548	355654	97821
549	356313	97176
550	356961	96528
551	357621	95884
552	358283	95240
553	358946	94595
554	359593	93947
555	360271	93307
556	360922	92660
557	361583	92015
558	362235	91368
559	362893	90723
560	363551	90077
561	364211	89432
562	364868	88786
563	365524	88140
564	366182	87494
565	366839	86848
566	367491	86201
567	368154	85556
568	368807	84910
569	369464	84263
570	370114	83616
571	370764	82968
572	371428	82323
573	372086	81677
574	372750	81032
575	373403	80385
576	374061	79739
577	374721	79093
578	375379	78447
579	376031	77799
580	376695	77154
581	377354	76508
582	378011	75861
583	378662	75213
584	379321	74567
585	379982	73921
586	380638	73274
587	381297	72628
588	381958	71981
589	382620	71335
590	383253	70684
591	383918	70039
592	384580	69393
593	385239	68746
594	385882	68096
595	386523	67447
596	387175	66799
597	387815	66149
598	388468	65501
599	389164	64860
600	389783	64207
601	390404	63554
602	391059	62906
603	391686	62254
604	392339	61606
605	393000	60960
606	393654	60312
607	394271	59659
608	394881	59005
609	395530	58356
610	396139	57702
611	396780	57053
612	397427	56404
613	398123	55763
614	398751	55112
615	399382	54461
616	400052	53815
617	400681	53164
618	401317	52514
619	401939	51863
620	402627	51219
621	403257	50569
622	403918	49922
623	404558	49273
624	405209	48625
625	405834	47974
626	406478	47325
627	407124	46676
628	407737	46024
629	408353	45372
630	408966	44720
631	409584	44069
632	410216	43419
633	410834	42768
634	411465	42118
635	412092	41468
636	412720	40818
637	413348	40168
638	413981	39519
639	414623	38870
640	415268	38222
641	415910	37574
642	416573	36928
643	417206	36278
644	417848	35630
645	418506	34983
646	419186	34338
647	419800	33687
648	420422	33037
649	421055	32388
650	421672	31738
651	422273	31087
652	422916	30439
653	423533	29789
654	424163	29141
655	424785	28491
656	425431	27844
657	426068	27195
658	426739	26549
659	427367	25901
660	427983	25251
661	428601	24602
662	429235	23954
663	429864	23305
664	430496	22657
665	431123	22009
666	431734	21360
667	432364	20712
668	432985	20063
669	433615	19415
670	434349	18772
671	435129	18130
672	435779	17482
673	436426	16835
674	437049	16187
675	437677	15538
676	438294	14890
677	438934	14242
678	439575	13595
679	440228	12947
680	440879	12300
681	441517	11652
682	442136	11004
683	442774	10357
684	443403	9709
685	444044	9062
686	444698	8414
687	445345	7767
688	445989	7120
689	446648	6473
690	447293	5825
691	447906	5178
692	448529	4530
693	449147	3883
694	449856	3236
695	450481	2588
696	451116	1941
697	451752	1294
698	452425	647
699	453033	0
