iter	Logloss
0	0.6499312177
1	0.6174382211
2	0.5871703673
3	0.5669080619
4	0.5461040764
5	0.5268851442
6	0.5127052632
7	0.500977117
8	0.4911624078
9	0.4809414657
10	0.472978555
11	0.4671173738
12	0.4610468716
13	0.4552836352
14	0.4495338922
15	0.4469922622
16	0.4440157307
17	0.4414905504
18	0.4386933367
19	0.4352811627
20	0.4316584725
21	0.4299705007
22	0.4284392829
23	0.4265307546
24	0.4248303207
25	0.4222047428
26	0.4203372637
27	0.4195141562
28	0.4183312732
29	0.4171902178
30	0.4163523851
31	0.4147475559
32	0.4134700952
33	0.4125941123
34	0.4114787166
35	0.4104971152
36	0.4096838098
37	0.4066026354
38	0.4052791436
39	0.4046100237
40	0.4032199039
41	0.4024266385
42	0.4013668007
43	0.4002434484
44	0.3995370199
45	0.3987871755
46	0.39816419
47	0.3976523827
48	0.3968891178
49	0.3963758565
50	0.3947880654
51	0.3935176186
52	0.3923270564
53	0.3917071528
54	0.3908484103
55	0.3904990918
56	0.3901171477
57	0.3890830659
58	0.3884583046
59	0.3875387227
60	0.3871718907
61	0.3866472705
62	0.3860181024
63	0.3853448666
64	0.3834361284
65	0.3827568247
66	0.3822113682
67	0.3813413031
68	0.3807302261
69	0.3801357706
70	0.3797187046
71	0.3793353697
72	0.3788334715
73	0.3781428794
74	0.3777007507
75	0.3769444711
76	0.3762134097
77	0.3756127243
78	0.3751848754
79	0.3747228613
80	0.3742425752
81	0.3722285196
82	0.3714395726
83	0.3711879895
84	0.3708833104
85	0.3704766606
86	0.3696625924
87	0.3686460472
88	0.3683710626
89	0.3667717161
90	0.3664292293
91	0.3652453586
92	0.3648489119
93	0.3639918768
94	0.363229409
95	0.3626062817
96	0.362210807
97	0.3618291093
98	0.3613354873
99	0.3602821919
100	0.3599465818
101	0.3592807679
102	0.3582255244
103	0.3578383829
104	0.3575906338
105	0.35721106
106	0.3567851602
107	0.3562974359
108	0.3559336983
109	0.355215894
110	0.3543709264
111	0.3539659239
112	0.3532760827
113	0.3523511094
114	0.3521060666
115	0.3515767517
116	0.35123564
117	0.3506378054
118	0.3495544938
119	0.3489575122
120	0.3483754244
121	0.3480173783
122	0.3473701807
123	0.3464993827
124	0.3461149787
125	0.3451835309
126	0.344651193
127	0.3442246936
128	0.3434872683
129	0.3427247687
130	0.3420470592
131	0.3416026808
132	0.3412657123
133	0.3410116995
134	0.3404997042
135	0.3398737075
136	0.3393216469
137	0.3389080668
138	0.3382545665
139	0.3377952511
140	0.3371708801
141	0.33630864
142	0.3359645989
143	0.3351608797
144	0.3348372613
145	0.3344574828
146	0.3341030056
147	0.3332872481
148	0.3326828971
149	0.3322288221
150	0.331938897
151	0.3314668112
152	0.3307852183
153	0.3304266451
154	0.3296584999
155	0.3292731927
156	0.3290450198
157	0.3286169495
158	0.328375997
159	0.3279734494
160	0.3276552109
161	0.327250275
162	0.3269190268
163	0.3262210623
164	0.3258172833
165	0.3252290652
166	0.3247542686
167	0.3241021657
168	0.3235570706
169	0.3230334706
170	0.3225816792
171	0.3222189887
172	0.3217884954
173	0.3215993569
174	0.3213531885
175	0.321067227
176	0.3207808825
177	0.3205351494
178	0.3197988038
179	0.3194502539
180	0.3189057189
181	0.3184291493
182	0.318221108
183	0.3175695121
184	0.3173812218
185	0.316774925
186	0.3162968554
187	0.3158361916
188	0.3152739206
189	0.314905384
190	0.3144181037
191	0.3139360833
192	0.3136342963
193	0.3130691281
194	0.3122720469
195	0.3120046935
196	0.3117718302
197	0.3114513178
198	0.3111222732
199	0.3106228248
200	0.310064102
201	0.3097696581
202	0.3094880284
203	0.3090476575
204	0.3087079827
205	0.308352831
206	0.3078596055
207	0.307478034
208	0.3071220756
209	0.3065630234
210	0.3058086956
211	0.3054637112
212	0.3052464278
213	0.3048064474
214	0.304654473
215	0.3043490581
216	0.3038356064
217	0.3035968868
218	0.3033078199
219	0.3030891886
220	0.302712521
221	0.3025263865
222	0.302089553
223	0.3017375619
224	0.3011764687
225	0.3010059721
226	0.3006735956
227	0.3003830448
228	0.3000815247
229	0.2998016149
230	0.2993976441
231	0.2991224142
232	0.2984673392
233	0.2979259952
234	0.2975426238
235	0.2972537926
236	0.2969398796
237	0.2964320704
238	0.2962007465
239	0.2957730224
240	0.2955992551
241	0.2951762751
242	0.294838351
243	0.294463464
244	0.294199863
245	0.2937795981
246	0.2936055764
247	0.2932296116
248	0.2928538769
249	0.2924673433
250	0.2920388067
251	0.2917415156
252	0.2914073778
253	0.2909859869
254	0.2905525059
255	0.2901236966
256	0.2897035039
257	0.2892987998
258	0.2891311343
259	0.2886956082
260	0.2883149251
261	0.2881518665
262	0.2879110962
263	0.2875704282
264	0.2873998885
265	0.2871517835
266	0.2868335235
267	0.2864501766
268	0.2858866795
269	0.2856339534
270	0.285293022
271	0.2847574349
272	0.2842540792
273	0.2836275703
274	0.2832260451
275	0.2830495252
276	0.2827826076
277	0.2824654651
278	0.2821563807
279	0.2817570227
280	0.2814799589
281	0.2810151794
282	0.2807013978
283	0.2805342397
284	0.2803549077
285	0.2799579857
286	0.2798499725
287	0.2794948786
288	0.2791993408
289	0.2789125165
290	0.2785905369
291	0.2783619709
292	0.2780066492
293	0.2775138906
294	0.2773524424
295	0.2770122008
296	0.2767738865
297	0.2764441138
298	0.2761327918
299	0.2755856756
